productid,imageid,prdtypecode,bool_description,merged_text,lang,deepL_translation
3804725264,1263597046,10,0,Olivia: Personalisiertes Notizbuch / 150 Seiten / Punktraster / Ca Din A5 / Rosen-Design - ,de,Olivia : Carnet de notes personnalisé / 150 pages / Grille à points / Ca Din A5 / Design de roses -
3804725264,1263597046,10,0,Olivia: Personalisiertes Notizbuch / 150 Seiten / Punktraster / Ca Din A5 / Rosen-Design - ,de,Olivia : Carnet de notes personnalisé / 150 pages / Grille à points / Ca Din A5 / Design de roses -
436067568,1008141237,2280,0,Journal Des Arts (Le) N° 133 Du 28/09/2001 - L'art Et Son Marche Salon D'art Asiatique A Paris - Jacques Barrere - Francois Perrier - La Reforme Des Ventes Aux Encheres Publiques - Le Sna Fete Ses Cent Ans. - ,fr,
201115110,938777978,50,1,PILOT STYLE Touch Pen de marque Speedlink est 1 stylet ergonomique pour GamePad Nintendo Wii U. Pour un confort optimal et une précision maximale sur le GamePad de la Wii U: ce grand stylet hautement ergonomique est non seulement parfaitement adapté à votre main mais aussi très élégant. Il est livré avec un support qui se fixe sans adhésif à l'arrière du GamePad Caractéristiques: Modèle: Speedlink PILOT STYLE Touch Pen Couleur: Bleu Ref. Fabricant: SL-3468-BE Compatibilité: GamePad Nintendo Wii U Forme particulièrement ergonomique excellente tenue en main Pointe à revêtement longue durée conçue pour ne pas abîmer l'écran tactile En bonus : Support inclu pour GamePad,fr,
50418756,457047496,1280,0,Peluche Donald - Europe - Disneyland 2000 (Marionnette À Doigt) - ,fr,
278535884,1077757786,2705,1,La Guerre Des Tuques - Luc a des idées de grandeur. Il veut organiser un jeu de guerre de boules de neige et s'arranger pour en être le vainqueur incontesté. Mais Sophie s'en mêle et chambarde tous ses plans...,fr,
5862738,393356830,2280,0,Afrique Contemporaine N° 212 Hiver 2004 - Dossier Japon / Afrique - ,fr,
91920807,907794536,10,0,Christof E: Bildungsprozessen Auf Der Spur - ,de,Christof E : Processus de formation sur la trace -
91920807,907794536,10,0,Christof E: Bildungsprozessen Auf Der Spur - ,de,Christof E : Processus de formation sur la trace -
344240059,999581347,2522,1,Conquérant Sept Cahier Couverture Polypro 240 X 320 Mm 96 Pages 90g Seyès Incolore - CONQUERANT CLASSIQUE Cahier 240 x 320 mm seyès incolorecouverture en Polypro 96 pages agrafé papier de 90 g/m2(400006764),fr,
4239126071,1325918866,1280,0,Puzzle Scooby-Doo Avec Poster 2x35 Pieces - ,fr,
